id,name,artists
24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),"['1HY2Jd0NmPuamShAr6KMms', '66CXWjxzNUsdJxJ2JdwvnR']"
4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),"['66CXWjxzNUsdJxJ2JdwvnR', '1uNFoZAHBGtllmzznpCI3s']"
51WKo14W3ePwu4bvn8bBLF,A Hand For Mrs. Claus,"['73Np75Wv2tju61Eo9Zw4IR', '66CXWjxzNUsdJxJ2JdwvnR']"
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),"['66CXWjxzNUsdJxJ2JdwvnR', '5UjifI1TYefXWn9GdqDOHl']"
6tsOcBnaKgzK22yEiqRh8P,MONOPOLY (with Victoria Monét),"['66CXWjxzNUsdJxJ2JdwvnR', '63XBtGSEZINSyXylZxEUbv']"
6AyI8UGx8Y4peb7pLOy2pf,7 rings (feat. 2 Chainz) - Remix,"['66CXWjxzNUsdJxJ2JdwvnR', '17lzZA2AlOHwCwFALHttmp']"
27WOAkJrAYagnYj7Y2tsFw,Side To Side - Slushii Remix,"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh', '41rVuRHYAiH7ltBTHVR9We']"
1OQavCoScXzV0tdMlofwmK,Side To Side - Phantoms Remix,"['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh', '1bJJlRHoc1UVeqzxcrPLIw']"
5SFVZUBkSjXookoHpCYBop,Into You - Alex Ghenea Remix,"['66CXWjxzNUsdJxJ2JdwvnR', '4LLpKhyESsyAXpc4laK94U', '1mGISDumAyOoK6epKA8gq1']"
1cfVkL84XmRON3Gl9jDXKI,Into You - 3LAU Remix,"['66CXWjxzNUsdJxJ2JdwvnR', '4YLQaW1UU3mrVetC8gNkg5']"
07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,"['56oDRnqbIiwx4mymNEv7dS', '66CXWjxzNUsdJxJ2JdwvnR']"
1magKwGDsyU3RGjpo0BfPe,Brand New You (feat. Brynn Williams & Caitlin Gann),"['66CXWjxzNUsdJxJ2JdwvnR', '1hnnj2WandO6I4kQCqS3ct', '5Wy5gqWzDpWspwIYLokJY5']"
5RNKIGhRllNHGjroVDPXat,A Little More Homework (feat. Graham Phillips) - Single Version,"['66CXWjxzNUsdJxJ2JdwvnR', '7cx3SW07K49VaNuC71o4vj']"
29kGXAiD6JiuzXpme5cXLU,Bang Bang - Dada Life Remix,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh', '00sAT5YX8W3xNd1EuqyHw9']"
3wmzSwXcZw3D93kqWeFp9H,Bang Bang - Kat Krazy Remix,"['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh', '60PKQFvtGXaQWYfVixrrDk']"
